"","Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator","Day"
"338","CC1690",25,71,1,87.9040249113085,"2","T",NA
"339","CC1690",25,71,2,82.4598371559022,"2","T",NA
"340","CC1690",25,71,3,47.3208069559171,"2","T",NA
"341","CC1690",25,71,4,57.6447012593728,"2","T",NA
"342","CC1690",25,71,5,43.8642258504897,"2","T",NA
"343","CC1690",25,71,6,75.8253242814313,"2","T",NA
"344","CC1690",25,71,7,76.9026947497847,"2","T",NA
"345","CC1690",25,77,0,88.1582112437178,"2","T","3"
"346","CC1690",25,77,1,101.874643388065,"2","T","3"
"347","CC1690",25,77,2,95.0150580799789,"2","T","3"
"348","CC1690",25,77,3,54.0915144698755,"2","T","3"
"349","CC1690",25,77,4,63.1433796181185,"2","T","3"
"350","CC1690",25,77,5,52.3788746503358,"2","T","3"
"351","CC1690",25,77,6,87.6851299640937,"2","T","3"
"352","CC1690",25,77,7,86.9478035226058,"2","T","3"
"353","CC1690",25,83,0,98.205782442383,"2","T",NA
"354","CC1690",25,83,1,115.6552253817,"2","T",NA
"355","CC1690",25,83,2,107.622655339667,"2","T",NA
"356","CC1690",25,83,3,61.0435459953264,"2","T",NA
"357","CC1690",25,83,4,69.6983108102196,"2","T",NA
"358","CC1690",25,83,5,60.5749254418764,"2","T",NA
"359","CC1690",25,83,6,99.4315760713997,"2","T",NA
"360","CC1690",25,83,7,96.9830309498801,"2","T",NA
"361","CC1690",25,95,0,118.718579728563,"2","T",NA
"362","CC1690",25,95,1,143.116206692377,"2","T",NA
"363","CC1690",25,95,2,132.764268284881,"2","T",NA
"364","CC1690",25,95,3,75.3259000642299,"2","T",NA
"365","CC1690",25,95,4,83.4675528246754,"2","T",NA
"366","CC1690",25,95,5,76.8339419463611,"2","T",NA
"367","CC1690",25,95,6,122.441533801219,"2","T",NA
"368","CC1690",25,95,7,116.832108178239,"2","T",NA
"369","CC1690",25,101,0,129.40903451118,"2","T","4"
"370","CC1690",25,101,1,156.77186172111,"2","T","4"
"371","CC1690",25,101,2,145.292295756188,"2","T","4"
"372","CC1690",25,101,3,82.5733532756551,"2","T","4"
"373","CC1690",25,101,4,89.4242994885668,"2","T","4"
"374","CC1690",25,101,5,85.065369044092,"2","T","4"
"375","CC1690",25,101,6,133.72934712318,"2","T","4"
"376","CC1690",25,101,7,126.667232085173,"2","T","4"
"377","CC1690",25,107,0,140.029803037076,"2","T",NA
"378","CC1690",25,107,1,170.384963662409,"2","T",NA
"379","CC1690",25,107,2,157.817168295452,"2","T",NA
"380","CC1690",25,107,3,89.9022819831999,"2","T",NA
"381","CC1690",25,107,4,95.4863484746973,"2","T",NA
"382","CC1690",25,107,5,93.5434328936366,"2","T",NA
"383","CC1690",25,107,6,144.838026522496,"2","T",NA
"384","CC1690",25,107,7,136.427902673923,"2","T",NA
"385","CC1690",25,0,0,0,"3","B","0"
"386","CC1690",25,0,1,0,"3","B","0"
"387","CC1690",25,0,2,0,"3","B","0"
"388","CC1690",25,0,3,0,"3","B","0"
"389","CC1690",25,0,4,0,"3","B","0"
"390","CC1690",25,0,5,0,"3","B","0"
"391","CC1690",25,0,6,0,"3","B","0"
"392","CC1690",25,0,7,0,"3","B","0"
"393","CC1690",25,4,0,0.34,"3","B",NA
"394","CC1690",25,4,1,0.79,"3","B",NA
"395","CC1690",25,4,2,1.594,"3","B",NA
"396","CC1690",25,4,3,0.868,"3","B",NA
"397","CC1690",25,4,4,0.786,"3","B",NA
"398","CC1690",25,4,5,0.974,"3","B",NA
"399","CC1690",25,4,6,0.798,"3","B",NA
"400","CC1690",25,4,7,0.582,"3","B",NA
"401","CC1690",25,10,0,1.14583380059005,"3","B",NA
"402","CC1690",25,10,1,2.52262518477879,"3","B",NA
"403","CC1690",25,10,2,4.20429304082619,"3","B",NA
"404","CC1690",25,10,3,2.27716706595877,"3","B",NA
"405","CC1690",25,10,4,2.47045786395272,"3","B",NA
"406","CC1690",25,10,5,2.64462482796457,"3","B",NA
"407","CC1690",25,10,6,2.41629191941007,"3","B",NA
"408","CC1690",25,10,7,1.75145857758116,"3","B",NA
"409","CC1690",25,22,0,4.96100806133892,"3","B",NA
"410","CC1690",25,22,1,8.65834386792566,"3","B",NA
"411","CC1690",25,22,2,15.3776439080984,"3","B",NA
"412","CC1690",25,22,3,7.77014850626528,"3","B",NA
"413","CC1690",25,22,4,8.22811372302519,"3","B",NA
"414","CC1690",25,22,5,8.21154167857937,"3","B",NA
"415","CC1690",25,22,6,8.67472775826808,"3","B",NA
"416","CC1690",25,22,7,6.54806220858019,"3","B",NA
"417","CC1690",25,28,0,7.9447119945579,"3","B","1"
"418","CC1690",25,28,1,13.181261203447,"3","B","1"
"419","CC1690",25,28,2,24.4081016507473,"3","B","1"
"420","CC1690",25,28,3,12.6976789002824,"3","B","1"
"421","CC1690",25,28,4,13.8872088579527,"3","B","1"
"422","CC1690",25,28,5,13.6039873535963,"3","B","1"
"423","CC1690",25,28,6,14.1955415392309,"3","B","1"
"424","CC1690",25,28,7,11.1593289010367,"3","B","1"
"425","CC1690",25,34,0,12.8386829115373,"3","B",NA
"426","CC1690",25,34,1,18.9885396985694,"3","B",NA
"427","CC1690",25,34,2,34.7735090594934,"3","B",NA
"428","CC1690",25,34,3,20.7131081482194,"3","B",NA
"429","CC1690",25,34,4,22.0184690918934,"3","B",NA
"430","CC1690",25,34,5,21.9935597162056,"3","B",NA
"431","CC1690",25,34,6,22.3822263098805,"3","B",NA
"432","CC1690",25,34,7,19.7032830856345,"3","B",NA
"433","CC1690",25,46,0,28.1121851313972,"3","B",NA
"434","CC1690",25,46,1,31.9127013521125,"3","B",NA
"435","CC1690",25,46,2,56.2088895237633,"3","B",NA
"436","CC1690",25,46,3,43.6116163882747,"3","B",NA
"437","CC1690",25,46,4,39.9481619628644,"3","B",NA
"438","CC1690",25,46,5,45.4963048102813,"3","B",NA
"439","CC1690",25,46,6,39.3696312414812,"3","B",NA
"440","CC1690",25,46,7,38.1722728757863,"3","B",NA
"441","CC1690",25,52,0,38.1546048265157,"3","B","2"
"442","CC1690",25,52,1,37.616837463542,"3","B","2"
"443","CC1690",25,52,2,67.668893145217,"3","B","2"
"444","CC1690",25,52,3,55.5352769788778,"3","B","2"
"445","CC1690",25,52,4,49.3056161346938,"3","B","2"
"446","CC1690",25,52,5,59.026874031351,"3","B","2"
"447","CC1690",25,52,6,48.5710080271997,"3","B","2"
"448","CC1690",25,52,7,45.6052613690803,"3","B","2"
"449","CC1690",25,58,0,48.0726063710785,"3","B",NA
"450","CC1690",25,58,1,44.0908142931712,"3","B",NA
"451","CC1690",25,58,2,79.301669160526,"3","B",NA
"452","CC1690",25,58,3,67.6506933615774,"3","B",NA
"453","CC1690",25,58,4,59.0205054796822,"3","B",NA
"454","CC1690",25,58,5,72.7178452635956,"3","B",NA
"455","CC1690",25,58,6,58.1646233683838,"3","B",NA
"456","CC1690",25,58,7,53.6729342116404,"3","B",NA
"457","CC1690",25,70,0,68.5665556214008,"3","B",NA
"458","CC1690",25,70,1,57.2144942042416,"3","B",NA
"459","CC1690",25,70,2,102.5998999218,"3","B",NA
"460","CC1690",25,70,3,92.6585314361275,"3","B",NA
"461","CC1690",25,70,4,79.1469816610076,"3","B",NA
"462","CC1690",25,70,5,100.660418440423,"3","B",NA
"463","CC1690",25,70,6,77.7355709915487,"3","B",NA
"464","CC1690",25,70,7,69.1955468158788,"3","B",NA
"465","CC1690",25,76,0,79.0721701353592,"3","B","3"
"466","CC1690",25,76,1,62.8258431243,"3","B","3"
"467","CC1690",25,76,2,114.276248621087,"3","B","3"
"468","CC1690",25,76,3,104.548434451301,"3","B","3"
"469","CC1690",25,76,4,89.1241691631546,"3","B","3"
"470","CC1690",25,76,5,114.841997988203,"3","B","3"
"471","CC1690",25,76,6,87.4708497801887,"3","B","3"
"472","CC1690",25,76,7,76.1369822353959,"3","B","3"
"473","CC1690",25,82,0,89.7081379465307,"3","B",NA
